STAT_2022,length_bicycle_tracks_km,num_business_centers,num_community_centers,num_dog_gardens,num_education,num_elderly_clubs,num_health_clinics,num_playgrounds,num_shelters,num_synagogues,_סך הכל אוכלוסייה,_אחוז שינוי ממפקד האוכלוסין 2008,"_צפיפות אוכלוסייה (לקמ""ר)",_סמל דת עיקרית,_שם דת עיקרית,_יחס מינים,_אחוז דיירי מוסדות,_אחוז זרים,_אחוז בני 19-0,_אחוז בני 64-20,_אחוז בני 65 ומעלה,_יחס תלות לאלף נפשות,_גיל חציוני,_גיל חציוני - זכרים,_גיל חציוני - נקבות,_אחוז נשואים בני 34-18,_אחוז נשואים בני 54-45,_יהודים ואחרים ילידי ישראל,"_יהודים ואחרים ילידי חו""ל",_אחוז יהודים ואחרים שעלו משנת 2002 ואילך,_אחוז יהודים ואחרים שעלו משנת 2010 ואילך,_אחוז יהודים ואחרים שיבשת מוצאם ישראל,_אחוז יהודים ואחרים שיבשת מוצאם אסיה,_אחוז יהודים ואחרים שיבשת מוצאם אפריקה,_אחוז יהודים ואחרים שיבשת מוצאם אירופה,_אחוז יהודים ואחרים שיבשת מוצאם אמריקה ואוקיאניה,_שם ארץ מוצא עיקרית,_גיל נישואין חציוני,_גיל נישואין חציוני - זכרים,_גיל נישואין חציוני - נקבות,_מספר ילדים ממוצע לאישה עד המועד הקובע,_אחוז בני 5 ומעלה המתקשים מאוד או אינם יכולים כלל,_אחוז בני 65 ומעלה המתקשים מאוד או אינם יכולים כלל,_אחוז בני 15 ומעלה בעלי השכלה אקדמית,_אחוז בני 15 ומעלה שעבדו ב-12 החודשים שקדמו למועד הקובע,_אחוז שכירים,_אחוז עצמאים,_ממוצע שעות עבודה,_אחוז בני 17-15 שעבדו ב 12 החודשים שקדמו למועד הקובע,_אחוז עובדים מחוץ ליישוב המגורים,"_הכנסה חציונית שנתית מעבודה של שכירים
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","_אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","_הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","_אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",_סך הכל משקי בית,_ממוצע נפשות במשק הבית,_אחוז משקי הבית שבהם בני 5-0,_אחוז משקי הבית שבהם בני 25-18,_סמל אורח חיים עיקרי למשק בית,_שם אורח חיים עיקרי למשק בית,_ממוצע מחשבים במשק הבית,_אחוז משקי הבית שלא עומד לרשותם כלי רכב,_אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,_אחוז משקי הבית שעומדת לרשותם חנייה,_אחוז משקי הבית הגרים בדירה בבעלות,_אחוז משקי הבית הגרים בדירה בשכירות
111.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,3.0,2260,,,1,יהודים,104.9,,,25.6,59.7,14.7,676.2,34,34,35,20.6,45.1,49.1,50.9,22.6,11.3,22.1,4.3,21.5,47.9,4.3,ישראל,23,24,23,1.8,26.8,61.5,12.0,55.2,97.3,2.7,37.3,18.6,27.9,69700,4.800000000000001,18100,,930.0000000000001,2.3,11.3,24.3,חילוני,1,0.8,59.0,3.2,26.9,35.0,61.1
112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2270,,,1,יהודים,94.4,,,27.7,52.7,19.6,898.5,38,34,43,34.3,50.7,37.2,62.8,39.8,32.7,13.0,5.8,37.2,42.9,1.2,אתיופיה,23,25,22,2.7,26.3,60.6,12.2,47.8,90.2,9.8,36.3,6.1,18.4,69300,2.5,43100,8.5,869.9999999999999,2.3,10.6,16.8,חילוני,1,0.6,65.1,8.2,41.2,46.9,46.8
113.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1420,,,1,יהודים,77.6,,,26.7,55.6,17.8,799.8,39,33,43,27.9,37.6,48.2,51.8,28.3,15.4,20.2,4.2,27.2,45.5,2.9,ישראל,23,25,22,2.5,25.2,54.2,11.8,51.2,97.6,2.4,34.7,23.7,9.1,71700,,82400,,640.0,2.2,11.9,13.6,חילוני,1,0.6,68.1,4.1,26.0,40.6,53.5
121.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,12.0,4.0,4270,,,1,יהודים,96.1,,,19.3,57.2,23.5,748.0,36,32,43,15.7,43.7,51.2,48.8,21.1,11.7,25.5,5.1,20.4,45.7,3.2,ישראל,23,25,22,1.9,24.1,55.6,14.8,56.8,95.6,4.4,34.0,26.4,31.1,62000,4.2,76900,,1950.0,2.0,6.6,20.7,חילוני,1,1.1,50.6,7.0,34.8,31.2,64.7
122.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1500,,,1,יהודים,107.5,,,10.6,80.7,8.8,239.4,26,27,26,12.5,27.7,67.7,32.3,37.7,11.4,41.7,3.4,17.1,32.8,4.9,ישראל,24,27,22,0.8,8.8,22.8,14.7,64.0,95.8,4.2,29.8,10.6,39.3,37400,2.0,20600,,780.0,1.9,4.1,36.6,חילוני,1,1.6,49.6,7.4,23.2,13.3,80.6
123.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1300,,,1,יהודים,110.0,,,10.6,77.1,12.3,297.3,26,27,26,8.1,39.5,77.1,22.9,15.1,9.2,51.8,5.7,19.5,18.0,5.0,ישראל,23,26,22,1.2,15.1,71.9,7.5,64.9,93.5,6.5,28.7,29.7,36.4,42000,2.9,20000,9.7,680.0,1.9,3.7,30.0,חילוני,1,1.6,46.1,8.7,18.8,22.3,72.5
131.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,9.0,1.0,2800,,,1,יהודים,109.5,,,8.5,75.6,15.9,322.2,27,28,27,8.8,40.7,70.9,29.1,19.0,13.1,46.5,5.6,18.2,24.3,5.3,ישראל,24,25,22,1.0,12.4,58.4,15.0,67.2,93.5,5.3,30.5,,37.9,46900,2.3,44500,,1560.0,1.7,4.7,29.3,חילוני,1,1.3,48.8,7.4,31.6,19.0,79.0
132.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0,1800,,,1,יהודים,100.8,,,13.9,68.7,17.4,455.5,31,29,35,12.7,40.3,55.0,45.0,26.9,14.6,24.5,4.6,22.8,43.9,4.3,ישראל,24,25,21,1.1,28.9,70.3,18.1,60.3,94.3,5.7,33.4,,31.7,47500,1.6,10100,,1050.0,1.7,4.4,24.2,חילוני,1,1.0,64.1,4.4,17.3,21.0,71.9
133.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1350,,,1,יהודים,97.9,,,8.6,80.0,11.4,249.6,28,28,28,12.8,53.7,61.2,38.8,29.1,12.3,35.6,3.6,13.3,40.4,7.2,ישראל,24,25,22,0.9,13.9,45.0,22.3,73.7,94.2,5.8,34.5,41.6,38.1,56900,3.1,9600,,790.0,1.7,2.8,13.2,חילוני,1,1.5,45.4,8.5,21.3,16.4,74.9
211.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,3640,,,1,יהודים,93.7,,,24.3,55.1,20.6,816.0,37,35,38,25.6,68.0,56.1,43.9,23.4,15.9,24.5,6.7,23.8,41.9,3.1,ישראל,25,26,23,2.1,15.7,43.6,22.0,61.0,84.1,15.4,37.5,17.3,25.4,99100,10.5,74700,26.2,1400.0,2.6,15.6,16.3,חילוני,1,1.2,38.4,18.6,60.3,56.4,34.6
