,OBJECTID,SEMEL_YISHUV,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,STAT_2022,YISHUV_STAT_2022,ROVA,TAT_ROVA,COD_TIFKUD,SHAPE_Length,SHAPE_Area
3525,3526,9000,באר שבע,BE'ER SHEVA,111.0,90000111,1.0,11.0,1.0,2745.64558560334,351000.06544785
3526,3527,9000,באר שבע,BE'ER SHEVA,112.0,90000112,1.0,11.0,1.0,2779.20963877567,437773.089173182
3527,3528,9000,באר שבע,BE'ER SHEVA,113.0,90000113,1.0,11.0,1.0,2141.03679969245,226167.528367955
3528,3529,9000,באר שבע,BE'ER SHEVA,121.0,90000121,1.0,12.0,1.0,2897.59466065287,419825.811636346
3529,3530,9000,באר שבע,BE'ER SHEVA,122.0,90000122,1.0,12.0,1.0,2584.03310209076,192950.48903105
3530,3531,9000,באר שבע,BE'ER SHEVA,123.0,90000123,1.0,12.0,1.0,2073.13885277052,153112.596692356
3531,3532,9000,באר שבע,BE'ER SHEVA,131.0,90000131,1.0,13.0,1.0,2456.01230294703,304639.089648191
3532,3533,9000,באר שבע,BE'ER SHEVA,132.0,90000132,1.0,13.0,1.0,1841.87749705371,172894.245892166
3533,3534,9000,באר שבע,BE'ER SHEVA,133.0,90000133,1.0,13.0,1.0,2651.56261656446,175104.163843513
3534,3535,9000,באר שבע,BE'ER SHEVA,211.0,90000211,2.0,21.0,1.0,2752.78167875122,438256.466901749
3535,3536,9000,באר שבע,BE'ER SHEVA,212.0,90000212,2.0,21.0,1.0,2593.01780060011,322560.408227304
3536,3537,9000,באר שבע,BE'ER SHEVA,213.0,90000213,2.0,21.0,1.0,2822.75022594742,439540.656667344
3537,3538,9000,באר שבע,BE'ER SHEVA,214.0,90000214,2.0,21.0,1.0,2400.83381203939,312123.545267239
3538,3539,9000,באר שבע,BE'ER SHEVA,215.0,90000215,2.0,21.0,1.0,2130.19578364968,224393.018304832
3539,3540,9000,באר שבע,BE'ER SHEVA,216.0,90000216,2.0,21.0,1.0,2135.32650730922,243539.192486559
3540,3541,9000,באר שבע,BE'ER SHEVA,221.0,90000221,2.0,22.0,1.0,1810.4907133221,199992.164920965
3541,3542,9000,באר שבע,BE'ER SHEVA,222.0,90000222,2.0,22.0,1.0,2021.33584226296,254313.112668617
3542,3543,9000,באר שבע,BE'ER SHEVA,223.0,90000223,2.0,22.0,1.0,2307.99231604763,218427.783947644
3543,3544,9000,באר שבע,BE'ER SHEVA,224.0,90000224,2.0,22.0,1.0,2194.09832117578,188294.409474274
3544,3545,9000,באר שבע,BE'ER SHEVA,225.0,90000225,2.0,22.0,1.0,2420.01827737581,274455.508085622
3545,3546,9000,באר שבע,BE'ER SHEVA,226.0,90000226,2.0,22.0,1.0,2134.43373096339,236380.029381521
3546,3547,9000,באר שבע,BE'ER SHEVA,311.0,90000311,3.0,31.0,6.0,2653.19203726158,330349.221239817
3547,3548,9000,באר שבע,BE'ER SHEVA,312.0,90000312,3.0,31.0,1.0,2767.53470622676,359940.952649843
3548,3549,9000,באר שבע,BE'ER SHEVA,313.0,90000313,3.0,31.0,1.0,2654.94740627873,412378.512531871
3549,3550,9000,באר שבע,BE'ER SHEVA,314.0,90000314,3.0,31.0,4.0,22815.8471000435,19127473.8857728
3550,3551,9000,באר שבע,BE'ER SHEVA,321.0,90000321,3.0,32.0,1.0,2396.47203285155,259893.1259835
3551,3552,9000,באר שבע,BE'ER SHEVA,322.0,90000322,3.0,32.0,1.0,3742.77872231251,765961.8198823
3552,3553,9000,באר שבע,BE'ER SHEVA,323.0,90000323,3.0,32.0,1.0,5282.81018963138,1501541.26893964
3553,3554,9000,באר שבע,BE'ER SHEVA,411.0,90000411,4.0,41.0,1.0,3128.86981238328,440310.520901986
3554,3555,9000,באר שבע,BE'ER SHEVA,412.0,90000412,4.0,41.0,1.0,1939.58277628581,107464.889889798
3555,3556,9000,באר שבע,BE'ER SHEVA,413.0,90000413,4.0,41.0,1.0,2265.68595661882,304259.261870481
3556,3557,9000,באר שבע,BE'ER SHEVA,414.0,90000414,4.0,41.0,1.0,2173.09968459418,221854.815631795
3557,3558,9000,באר שבע,BE'ER SHEVA,421.0,90000421,4.0,42.0,1.0,3969.90352055243,718617.651205641
3558,3559,9000,באר שבע,BE'ER SHEVA,422.0,90000422,4.0,42.0,1.0,3218.78047193448,575368.339403086
3559,3560,9000,באר שבע,BE'ER SHEVA,423.0,90000423,4.0,42.0,1.0,2850.16777443808,428733.494315817
3560,3561,9000,באר שבע,BE'ER SHEVA,424.0,90000424,4.0,42.0,1.0,4071.95609302018,894059.245455738
3561,3562,9000,באר שבע,BE'ER SHEVA,511.0,90000511,5.0,51.0,1.0,3218.07956123492,457857.379282497
3562,3563,9000,באר שבע,BE'ER SHEVA,512.0,90000512,5.0,51.0,1.0,2890.11138547976,414510.702077647
3563,3564,9000,באר שבע,BE'ER SHEVA,513.0,90000513,5.0,51.0,1.0,2780.17784778266,392643.096415397
3564,3565,9000,באר שבע,BE'ER SHEVA,521.0,90000521,5.0,52.0,1.0,2462.62859706181,314838.092682116
3565,3566,9000,באר שבע,BE'ER SHEVA,522.0,90000522,5.0,52.0,1.0,2438.11831646553,288416.922451891
3566,3567,9000,באר שבע,BE'ER SHEVA,523.0,90000523,5.0,52.0,1.0,2386.07311229357,343489.766359545
