STAT_2022,cluster
111.0,2
112.0,6
113.0,6
121.0,2
122.0,5
123.0,5
131.0,5
132.0,2
133.0,5
211.0,1
212.0,6
213.0,4
214.0,1
216.0,6
221.0,6
222.0,6
223.0,3
224.0,3
225.0,6
312.0,3
313.0,3
321.0,3
322.0,4
323.0,4
411.0,6
412.0,6
413.0,6
414.0,0
421.0,9
422.0,1
423.0,1
424.0,4
511.0,3
512.0,1
513.0,1
521.0,2
522.0,2
523.0,2
611.0,1
612.0,1
613.0,4
614.0,3
622.0,8
624.0,7
631.0,6
632.0,2
633.0,2
711.0,3
712.0,3
713.0,3
714.0,1
715.0,1
721.0,1
722.0,4
723.0,8
724.0,4
725.0,8
811.0,4
812.0,4
815.0,4
816.0,9
821.0,8
822.0,8
823.0,4
824.0,8
